seed,model,pval_kupiec,pval_christoffersen_ind,pval_christoffersen_cc,pval_dq,pval_er,pval_cc,pval_esr_v1,pval_esr_v2,pval_esr_v3,pval_mcs,in_mcs
4,bekk_asymmetric,0.2428716626058993,0.17140187074296617,0.19844490139815685,0.0007528904429318084,0.928,1.0,0.2771666530917769,0.3000359763010917,0.8985419186854717,0.452,True
5,bekk_asymmetric,0.2428716626058993,0.17140187074296617,0.19844490139815685,0.0007528904429318084,0.928,1.0,0.2771666530917769,0.3000359763010917,0.8985419186854717,0.852,True
6,bekk_asymmetric,0.2428716626058993,0.17140187074296617,0.19844490139815685,0.0007528904429318084,0.928,1.0,0.2771666530917769,0.3000359763010917,0.8985419186854717,0.275,True
7,bekk_asymmetric,0.2428716626058993,0.17140187074296617,0.19844490139815685,0.0007528904429318084,0.928,1.0,0.2771666530917769,0.3000359763010917,0.8985419186854717,0.335,True
8,bekk_asymmetric,0.2428716626058993,0.17140187074296617,0.19844490139815685,0.0007528904429318084,0.928,1.0,0.2771666530917769,0.3000359763010917,0.8985419186854717,0.27,True
9,bekk_asymmetric,0.2428716626058993,0.17140187074296617,0.19844490139815685,0.0007528904429318084,0.928,1.0,0.2771666530917769,0.3000359763010917,0.8985419186854717,0.329,True
42,bekk_asymmetric,0.2428716626058993,0.17140187074296617,0.19844490139815685,0.0007528904429318084,0.928,1.0,0.2771666530917769,0.3000359763010917,0.8985419186854717,0.849,True
0,bekk_lstm_mix,0.8067407000532538,0.09250290332999839,0.2357326905150423,0.08724741386146795,0.976,1.0,0.03485721502480443,0.10604534174477986,0.9692295785314528,0.586,True
1,bekk_lstm_mix,0.8067407000532538,0.09250290332999839,0.2357326905150423,0.07916232872970685,0.956,1.0,0.010877671772748676,0.0021416007923702463,0.9721216038676408,0.339,True
2,bekk_lstm_mix,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.14004539518690828,0.926,1.0,0.20192285579715907,0.04994216996621603,0.9519296332777989,0.926,True
3,bekk_lstm_mix,0.9338625169657003,0.07193618589473723,0.19738826013811153,0.054331139718049926,0.898,1.0,0.1367621348533774,0.06717737035892524,0.9574680893293789,1.0,True
4,bekk_lstm_mix,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.1375664935903047,0.992,1.0,0.07459819857273642,0.10740261076485025,0.9703789020398654,0.507,True
5,bekk_lstm_mix,0.8067407000532538,0.09250290332999839,0.2357326905150423,0.09335122742753266,0.955,1.0,0.007773669812475736,0.005390799995773854,0.972150907133891,1.0,True
6,bekk_lstm_mix,0.9338625169657003,0.07193618589473723,0.19738826013811153,0.046972552954674285,0.951,1.0,0.07084960720754807,0.08814539352559503,0.9707950463026692,0.857,True
7,bekk_lstm_mix,0.8067407000532538,0.09250290332999839,0.2357326905150423,0.09552101880011632,0.99,1.0,0.15315294154044723,0.02304362943144178,0.9624791263785522,0.414,True
8,bekk_lstm_mix,0.9338625169657003,0.07193618589473723,0.19738826013811153,0.060735137595364974,0.977,1.0,0.03769610121517897,0.01173864127933244,0.9712525983872073,1.0,True
9,bekk_lstm_mix,0.6724123009394447,0.0541949487121868,0.1433109118254155,0.041872651238256786,0.932,1.0,0.1840512397860381,0.12367631646955424,0.967051781911265,1.0,True
42,bekk_lstm_mix,0.9338625169657003,0.07193618589473723,0.19738826013811153,0.043450435785310604,0.921,1.0,0.0027074768956711903,0.03714445845037129,0.971123252096559,0.965,True
0,bekk_lstm_scalar,0.8067407000532538,0.09250290332999839,0.2357326905150423,0.09007413207964421,0.947,1.0,0.4398122834910859,0.5350916142499621,0.8879400263224358,1.0,True
1,bekk_lstm_scalar,0.38487863637479336,0.1422386651653347,0.2335600034318475,0.11660144543758177,0.977,1.0,0.3727548343370257,0.4894257692859352,0.9041362765481469,0.339,True
2,bekk_lstm_scalar,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.10394039704437485,0.844,1.0,0.23615960047918183,0.2518507033140839,0.8466923869744055,0.809,True
